TÌtulo;Autor;ISBN;ISBN13;Rating;Formato;Numero de Paginas;Ano publicacao original;Data Inicio;Data TÈrmino; Coluna1 ;Idioma;Status;Carregado
Nunca Saia Sozinho;Charlie Donlea;"=""6586041368""";"=""9786586041361""";30;Livro FÌsico;352;2020;04/05/2022;07/05/2022; 3 ;PortuguÍs;lido;
Outlander: A Viajante Do Tempo;Diana Gabaldon;"=""8580418216""";"=""9788580418217""";40;Livro FÌsico;752;1991;21/04/2022;04/05/2022; 13 ;PortuguÍs;lido;
Love: A histÛria de Lisey;Stephen  King;"=""8556511228""";"=""9788556511225""";20;Livro FÌsico;536;2006;30/03/2022;21/04/2022; 22 ;PortuguÍs;lido;
A Cidadela;A.J. Cronin;"=""6558470306""";"=""9786558470304""";50;Livro FÌsico;518;1937;23/03/2022;30/03/2022; 7 ;PortuguÍs;lido;
A IntimaÁ„o;John Grisham;"=""8532514359""";"=""9788532514356""";30;Livro FÌsico;283;2002;18/03/2022;23/03/2022; 5 ;PortuguÍs;lido;
Elevation;Stephen  King;"=""1982102314""";"=""9781982102319""";30;Livro FÌsico;146;2018;15/03/2022;18/03/2022; 3 ;PortuguÍs;lido;
Dona Flor e seus Dois Maridos;Jorge Amado;"=""8535911707""";"=""9788535911701""";50;Livro FÌsico;488;1966;05/03/2022;15/03/2022; 10 ;PortuguÍs;lido;
Ang˙stia;Graciliano Ramos;"=""8501115940""";"=""9788501115942""";30;Livro FÌsico;368;1936;03/03/2022;05/03/2022; 2 ;PortuguÍs;lido;
1565: Enquanto o Brasil Nascia;Pedro Doria;"=""8595082065""";"=""9788595082069""";30;Livro FÌsico;304;2012;28/02/2022;03/03/2022; 3 ;PortuguÍs;lido;
N„o Confie em NinguÈm;Charlie Donlea;"=""8595810435""";"=""9788595810433""";30;Livro FÌsico;352;2018;26/02/2022;28/02/2022; 2 ;PortuguÍs;lido;
D·lia Negra (L.A. Quartet, #1);James Ellroy;"=""8577993485""";"=""9788577993482""";50;Livro FÌsico;448;1987;20/02/2022;26/02/2022; 6 ;PortuguÍs;lido;
Christine;Stephen  King;"=""8560280871""";"=""9788560280872""";40;Livro FÌsico;616;1983;15/02/2022;20/02/2022; 5 ;PortuguÍs;lido;
Bravura indÙmita;Charles Portis;"=""8579620430""";"=""9788579620430""";40;Livro FÌsico;192;1968;13/02/2022;15/02/2022; 2 ;PortuguÍs;lido;
O GÍnio do Crime;Jo„o Carlos Marinho;"=""8526010476""";"=""9788526010475""";40;Livro FÌsico;144;1969;12/02/2022;13/02/2022; 1 ;PortuguÍs;lido;
A Firma (Em Portugues do Brasil);John Grisham;"=""8580419859""";"=""9788580419856""";40;Livro FÌsico;432;1991;08/02/2022;12/02/2022; 4 ;PortuguÍs;lido;
A Assustadora HistÛria da Medicina;Richard Gordon;"=""8500928417""";"=""9788500928413""";20;Livro FÌsico;223;1993;06/02/2022;08/02/2022; 2 ;PortuguÍs;lido;
Eram os Deuses Astronautas?;Erich von D√§niken;"=""""";"=""""";20;Livro FÌsico;180;1968;04/02/2022;06/02/2022; 2 ;PortuguÍs;lido;
Um Porto Seguro;Nicholas Sparks;"=""8581630049""";"=""9788581630045""";30;Livro FÌsico;384;2010;31/01/2022;04/02/2022; 4 ;PortuguÍs;lido;
Digital Fortress;Dan    Brown;"=""0312995423""";"=""9780312995423""";30;Livro FÌsico;431;1998;28/01/2022;31/01/2022; 3 ;PortuguÍs;lido;
Tempo Estranho;Joe  Hill;"=""8595083215""";"=""9788595083219""";30;Livro FÌsico;448;2017;23/01/2022;28/01/2022; 5 ;PortuguÍs;lido;
A Volta ao Mundo em Oitenta Dias;Jules Verne;"=""8513011150""";"=""""";50;Livro FÌsico;318;1872;20/01/2022;23/01/2022; 3 ;PortuguÍs;lido;
O dossiÍ pelicano;John Grisham;"=""8530601238""";"=""9788530601232""";40;Livro FÌsico;432;1992;15/01/2022;20/01/2022; 5 ;PortuguÍs;lido;
